facility_type,facility_type_description,subtype,subtype_description,permit_number,premise_name,premise_address,premise_city,premise_state,premise_zip,Inspection_Area,opening_date,ObjectId
695,SWIMMING AREA,191,SWIMMING POOL,93922,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,307
695,SWIMMING AREA,197,SPA,94109,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,21,2014/01/22 00:00:00,308
695,SWIMMING AREA,191,SWIMMING POOL,94177,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,LOUISVILLE,KY,40243,25,2014/07/03 00:00:00,309
695,SWIMMING AREA,191,SWIMMING POOL,94925,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,310
695,SWIMMING AREA,191,SWIMMING POOL,94926,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,311
695,SWIMMING AREA,191,SWIMMING POOL,95029,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2014/05/29 00:00:00,312
695,SWIMMING AREA,196,SPRAY POOL,95100,SKYVIEW PARK SPLASH PAD,2866 WATTERSON TRAIL,JEFFERSONTOWN,KY,40299,22,2014/07/01 00:00:00,313
695,SWIMMING AREA,197,SPA,95521,SIGNATURE POINT,1200 HELM PLACE LANE,JEFFERSONTOWN,KY,40299,22,2014/06/06 00:00:00,314
695,SWIMMING AREA,191,SWIMMING POOL,95523,SIGNATURE POINT,1200 HELM PLACE LANE,LOUISVILLE,KY,40299,22,2014/07/10 00:00:00,315
695,SWIMMING AREA,196,SPRAY POOL,95698,FOUNTAIN SQUARE APT,3600 FOUNTAIN DR,LOUISVILLE,KY,40218,27,2014/07/03 00:00:00,316
695,SWIMMING AREA,191,SWIMMING POOL,95699,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,317
695,SWIMMING AREA,191,SWIMMING POOL,95700,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,318
695,SWIMMING AREA,191,SWIMMING POOL,95868,HURSTBOURNE ESTATES,10405 WATERMARK PLACE,LOUISVILLE,KY,40223,29,2015/07/06 00:00:00,319
695,SWIMMING AREA,191,SWIMMING POOL,95995,THE CLUBHOUSE,2330 CRITTENDEN DRIVE,LOUISVILLE,KY,40217,28,,320
695,SWIMMING AREA,191,SWIMMING POOL,96037,ASHBY GREEN,7616 ASHBY LANDINGS DR,LOUISVILLE,KY,40272,23,2015/08/10 00:00:00,321
695,SWIMMING AREA,196,SPRAY POOL,96143,APPLEGATE FARM APARTMENT,5503 FERNFIELD DR,LOUISVILLE,KY,40219,27,2014/10/22 00:00:00,322
695,SWIMMING AREA,191,SWIMMING POOL,96206,VALHALLA VISTA,15300 SHELBYVILLE RD,LOUISVILLE,KY,40245,25,,323
695,SWIMMING AREA,191,SWIMMING POOL,96652,HYATT PLACE LOUISVILLE EAST,701 S HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2015/06/16 00:00:00,324
695,SWIMMING AREA,191,SWIMMING POOL,96774,BROOKSIDE APARTMENTS,8117 COOPER CREEK DR,LOUISVILLE,KY,40222,29,2015/06/15 00:00:00,325
695,SWIMMING AREA,191,SWIMMING POOL,96775,MEADOWS APARTMENT HOMES,2204 DEERCROSS DR,LOUISVILLE,KY,40222,29,2015/07/31 00:00:00,326
695,SWIMMING AREA,191,SWIMMING POOL,38364,BROOKHOLLOW HOMEOWNERS ASSO,3513 BROOKHOLLOW DR,LOUISVILLE,KY,40220,22,1997/05/20 00:00:00,327
695,SWIMMING AREA,191,SWIMMING POOL,78826,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,27,2007/08/22 00:00:00,328
695,SWIMMING AREA,191,SWIMMING POOL,29410,UPPER HIGHLANDS,2411 PARK DALE AVE,LOUISVILLE,KY,40220,26,1988/06/07 00:00:00,329
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,38494,WOODS OF ST THOMAS,6701 FALLEN LEAF CIRCLE,LOUISVILLE,KY,40241,21,1998/02/12 00:00:00,330
695,SWIMMING AREA,191,SWIMMING POOL,78986,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2007/09/12 00:00:00,331
695,SWIMMING AREA,199,WADING POOL,29411,UPPER HIGHLANDS,2411 PARK DALE AVE,LOUISVILLE,KY,40220,26,1988/06/07 00:00:00,332
695,SWIMMING AREA,199,WADING POOL,38495,WOODS OF ST THOMAS,6701 FALLEN LEAF CIRCLE,LOUISVILLE,KY,40241,21,1998/02/12 00:00:00,333
695,SWIMMING AREA,191,SWIMMING POOL,38673,HARRODS LANDING YACHT CLUB,8804 US HWY 42,PROSPECT,KY,40059,21,1989/07/20 00:00:00,334
695,SWIMMING AREA,191,SWIMMING POOL,38674,HARRODS LANDING CONDOS,8000 HARRODS LANDING DR,LOUISVILLE,KY,40059,21,1992/07/15 00:00:00,335
695,SWIMMING AREA,191,SWIMMING POOL,38901,RIVER OAK APARTMENT,2400 MELLWOOD AVENUE,LOUISVILLE,KY,40206,24,1995/06/12 00:00:00,336
695,SWIMMING AREA,191,SWIMMING POOL,40052,COURTYARD BY MARRIOTT,9608 BLAIRWOOD RD.,LOUISVILLE,KY,40222,29,2007/09/17 00:00:00,337
695,SWIMMING AREA,199,WADING POOL,42375,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,338
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,42376,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,339
695,SWIMMING AREA,191,SWIMMING POOL,42377,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,340
695,SWIMMING AREA,191,SWIMMING POOL,42381,THE LANDINGS,5500 TIMBER RIDGE RD,PROSPECT,KY,40059,21,1996/09/03 00:00:00,341
695,SWIMMING AREA,191,SWIMMING POOL,42501,BOULDER CREEK VANTAGE POINT #2 PHASE II,10400 PAVILION WAY EAST,LOUISVILLE,KY,40299,22,1990/08/14 00:00:00,342
695,SWIMMING AREA,191,SWIMMING POOL,42581,THE SPRINGS CLUBHOUSE,1099 BALMORAL DRIVE,LOUISVILLE,KY,40205,28,1990/08/23 00:00:00,343
695,SWIMMING AREA,191,SWIMMING POOL,43218,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,344
695,SWIMMING AREA,197,SPA,43219,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,345
695,SWIMMING AREA,199,WADING POOL,43220,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,346
695,SWIMMING AREA,199,WADING POOL,43221,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,347
695,SWIMMING AREA,199,WADING POOL,44615,SOUTH PARK COUNTRY CLUB,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,348
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,44617,SOUTH PARK COUNTRY CLUB,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,349
695,SWIMMING AREA,199,WADING POOL,44643,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,350
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,44644,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,351
695,SWIMMING AREA,191,SWIMMING POOL,44751,GRAYSTONE MANOR CONDOS,3200 GRAYSTONE MANOR PARKWAY,LOUISVILLE,KY,40241,21,1991/07/08 00:00:00,352
695,SWIMMING AREA,191,SWIMMING POOL,45506,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,353
695,SWIMMING AREA,199,WADING POOL,45507,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,354
695,SWIMMING AREA,199,WADING POOL,45508,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,355
695,SWIMMING AREA,191,SWIMMING POOL,29422,COUNTRY BROOK ESTATES,1718 BRIDGEVIEW LN,LOUISVILLE,KY,40242,26,1995/08/28 00:00:00,356
695,SWIMMING AREA,191,SWIMMING POOL,79206, YMCA NORTHEAST,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,2007/10/18 00:00:00,357
695,SWIMMING AREA,191,SWIMMING POOL,29431,WILDWOOD CONDOS,7080 WILDWOOD CIR,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,358
695,SWIMMING AREA,196,SPRAY POOL,79311, YMCA NORTHEAST,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,2007/11/01 00:00:00,359
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29432,HAPPY ACRES SWIM CLUB,8408 HUDSON LN,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,360
695,SWIMMING AREA,191,SWIMMING POOL,80004,LAKEVIEW CONDOS EAST,1935 GARDINER LN,LOUISVILLE,KY,40205,28,2008/02/29 00:00:00,361
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29433,WILDWOOD COUNTRY CLUB,5000 BARDSTOWN RD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,362
695,SWIMMING AREA,191,SWIMMING POOL,80012,IVY RIDGE,4411 IVY CREST CIR,LOUISVILLE,KY,40241,21,2008/02/29 00:00:00,363
695,SWIMMING AREA,191,SWIMMING POOL,80487,DORSEY STATION,10431 SHELBYVILLE RD,LOUISVILLE,KY,40223,25,2008/03/27 00:00:00,364
695,SWIMMING AREA,191,SWIMMING POOL,80922,RAMADA INN,1041 ZORN AVE,LOUISVILLE,KY,40207,24,2008/04/29 00:00:00,365
695,SWIMMING AREA,196,SPRAY POOL,80949,METRO PARKS ALGONQUIN SPRAYGROUND,1614 CYPRESS ST,LOUISVILLE,KY,40210,24,2008/04/18 00:00:00,366
695,SWIMMING AREA,191,SWIMMING POOL,81318,WESTPORT GARDENS,1249 WESTLYNNE WAY,LOUISVILLE,KY,40222,26,2008/06/02 00:00:00,367
695,SWIMMING AREA,197,SPA,81605,BEST WESTERN LOUISVILLE EAST,9802 BUNSEN WAY,LOUISVILLE,KY,40299,29,2008/07/18 00:00:00,368
695,SWIMMING AREA,191,SWIMMING POOL,81606,BEST WESTERN LOUISVILLE EAST,9802 BUNSEN WAY,LOUISVILLE,KY,40299,29,2008/07/18 00:00:00,369
695,SWIMMING AREA,191,SWIMMING POOL,81740,PARKWOOD VILLAS,9710 MCNEELY LAKE DR,LOUISVILLE,KY,40229,27,2008/08/04 00:00:00,370
695,SWIMMING AREA,191,SWIMMING POOL,82190,BARDSTOWN FOREST,2041 BUECHEL BANK RD,LOUISVILLE,KY,40218,27,2008/09/29 00:00:00,371
695,SWIMMING AREA,196,SPRAY POOL,82704,METRO PARKS SHELBY PARK SPRAYGROUND,600 E OAK ST,LOUISVILLE,KY,40203,24,2008/12/29 00:00:00,372
695,SWIMMING AREA,196,SPRAY POOL,82705,METRO PARKS WYANDOTTE PARK SPRAYGROUND,1104 BEECHER ST,LOUISVILLE,KY,40215,23,2008/12/29 00:00:00,373
695,SWIMMING AREA,196,SPRAY POOL,82706,METRO PARKS FARNSLEY PARK SPRAYGROUND,3100 WEDGEWOOD WAY,LOUISVILLE,KY,40220,29,2008/12/29 00:00:00,374
695,SWIMMING AREA,197,SPA,82770,GLENVIEW,5100 US HWY 42,LOUISVILLE,KY,40241,21,2009/01/15 00:00:00,375
695,SWIMMING AREA,196,SPRAY POOL,83215,HOME OF THE INNOCENTS,1100 E MARKET ST,LOUISVILLE,KY,40206,28,2009/04/01 00:00:00,376
695,SWIMMING AREA,191,SWIMMING POOL,83216,HOME OF THE INNOCENTS,1100 E MARKET ST,LOUISVILLE,KY,40206,28,2009/04/01 00:00:00,377
695,SWIMMING AREA,191,SWIMMING POOL,83518,THE PROVINCE,600 RUGGLES PLACE,LOUISVILLE,KY,40208,23,2009/04/30 00:00:00,378
695,SWIMMING AREA,196,SPRAY POOL,85191,METRO PARKS LAPORTE PARK,2529 BANK ST,LOUISVILLE,KY,40212,24,2010/02/01 00:00:00,379
695,SWIMMING AREA,196,SPRAY POOL,85192,METRO PARKS PETERSBURG PARK,5008 E INDIAN TRAIL RD,LOUISVILLE,KY,40218,27,2010/02/01 00:00:00,380
695,SWIMMING AREA,196,SPRAY POOL,85551,METRO PARKS FAIRDALE SPRAY POOL,709 FAIRDALE RD,FAIRDALE,KY,40118,23,2010/03/30 00:00:00,381
695,SWIMMING AREA,199,WADING POOL,29435,WILDWOOD COUNTRY CLUB,5000 BARDSTOWN RD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,382
695,SWIMMING AREA,191,SWIMMING POOL,29440,1400 WILLOW CONDOMIUMS,1400 WILLOW AVE,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,383
695,SWIMMING AREA,191,SWIMMING POOL,29447,WOODCREEK CONDOS,3501 ILLINOIS AVE,LOUISVILLE,KY,40213,28,1988/06/07 00:00:00,384
695,SWIMMING AREA,191,SWIMMING POOL,29448,HIGHWOOD CONDOMINIUMS,900 HIGHWOOD DR.,LOUISVILLE,KY,40206,26,1988/06/07 00:00:00,385
695,SWIMMING AREA,191,SWIMMING POOL,29450,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN ROAD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,386
695,SWIMMING AREA,193,DIVING POOL,29452,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN ROAD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,387
695,SWIMMING AREA,191,SWIMMING POOL,29463,YMCA,555 S 2ND ST,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,388
695,SWIMMING AREA,191,SWIMMING POOL,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,LOUISVILLE,KY,40214,23,1988/06/07 00:00:00,389
695,SWIMMING AREA,191,SWIMMING POOL,29469,YMCA SOUTHEAST,5930 SIX MILE LANE,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,390
695,SWIMMING AREA,191,SWIMMING POOL,29476,HOLLY HOUSE CONDOMINIUMS,1924 GOLDSMITH LN.,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,391
695,SWIMMING AREA,199,WADING POOL,29482,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT DR,PROSPECT,KY,40059,21,1988/08/03 00:00:00,392
695,SWIMMING AREA,191,SWIMMING POOL,29485,HURSTBOURNE GRAND APTS,8916 MARKSFIELD RD.,LOUISVILLE,KY,40222,29,1988/08/02 00:00:00,393
695,SWIMMING AREA,191,SWIMMING POOL,29486,WESSEX PLACE,9542 WESSEX PLACE,LOUISVILLE,KY,40222,29,1995/08/04 00:00:00,394
695,SWIMMING AREA,191,SWIMMING POOL,29493,INVERNESS AT HURSTBOURNE,1200 CLUB HOUSE DRIVE,LOUISVILLE,KY,40222,29,1988/08/02 00:00:00,395
695,SWIMMING AREA,191,SWIMMING POOL,29494,INDIGO AT THE PARK,518 IROQUOIS GARDENS DRIVE,LOUISVILLE,KY,40214,23,1997/05/09 00:00:00,396
695,SWIMMING AREA,191,SWIMMING POOL,29504,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1988/06/07 00:00:00,397
695,SWIMMING AREA,191,SWIMMING POOL,29521,LA FONTENAY APARTMENTS,175 LA FONTENAY DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,398
695,SWIMMING AREA,191,SWIMMING POOL,29524,LA FONTENAY APARTMENTS,175 LA FONTENAY DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,399
695,SWIMMING AREA,191,SWIMMING POOL,29686,FOREST PARK CONDOMINIUMS,1600 FOREST PARK RD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,400
695,SWIMMING AREA,191,SWIMMING POOL,101553,OMNI LOUISVILLE - LEVEL 3 POOL,400 S. 2ND STREET,LOUISVILLE,KY,40202,24,2018/03/08 00:00:00,401
695,SWIMMING AREA,191,SWIMMING POOL,101554,THE RESIDENCES AT OMNI  - LEVEL 16 POOL,200 WEST LIBERTY ST,LOUISVILLE,KY,40202,24,2018/05/21 00:00:00,402
695,SWIMMING AREA,191,SWIMMING POOL,109672,U OF L HEALTH - FRAZIER REHAB #1,220 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,24,2006/06/01 00:00:00,403
695,SWIMMING AREA,191,SWIMMING POOL,101641,LOUISVILLE BROADWAY APTS LLC /HIGHLAND STATION,1172 E BROADWAY,LOUISVILLE,KY,40204,28,2018/05/22 00:00:00,404
695,SWIMMING AREA,191,SWIMMING POOL,101819,ASPENWOOD APARTMENTS,3300 ASPEN VALLEY CIRCLE,LOUISVILLE,KY,40241,21,2017/02/27 00:00:00,405
695,SWIMMING AREA,191,SWIMMING POOL,101828,QUALITY INN,1301 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2017/02/28 00:00:00,406
695,SWIMMING AREA,191,SWIMMING POOL,109711,UPTON - OXMOOR APARTMENTS,202 OXMOOR LANE,LOUISVILLE,KY,40222,26,,407
695,SWIMMING AREA,191,SWIMMING POOL,101850,HOME 2 SUITES,3000 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2018/05/25 00:00:00,408
695,SWIMMING AREA,191,SWIMMING POOL,109728,AVOCA APARTMENT,1405 AVOCA RIDGE RD,LOUISVILLE,KY,40223,25,,409
695,SWIMMING AREA,191,SWIMMING POOL,101851,BRADFORD MILL LOFTS,1124 REUTLINGER AVE,LOUISVILLE,KY,40204,28,,410
695,SWIMMING AREA,191,SWIMMING POOL,109771,THE HARPER,292 STOKE ON TRENT,JEFFERSONTOWN,KY,40299,22,2020/06/30 00:00:00,411
695,SWIMMING AREA,191,SWIMMING POOL,101962,THE GEORGE,6600 SEMINARY WOODS PLACE,LOUISVILLE,KY,40241,21,2017/03/21 00:00:00,412
695,SWIMMING AREA,191,SWIMMING POOL,109829,HYATT HOUSE LOUISVILLE EAST,9315 LEES GATE RD,LOUISVILLE,KY,40222,25,2020/09/21 00:00:00,413
695,SWIMMING AREA,191,SWIMMING POOL,102015,THE PARK AT HURSTBOURNE APTS -VARSITY CLUB,6121 BIG BEN DR,FERN CREEK,KY,40291,27,2017/03/29 00:00:00,414
695,SWIMMING AREA,191,SWIMMING POOL,109911,AXIS ON LEXINGTON,303 AXIS DR,LOUISVILLE,KY,40206,26,,415
695,SWIMMING AREA,191,SWIMMING POOL,102049,SOUTHGATE LANDING,10960 SOUTHGATE MANOR DR,LOUISVILLE,KY,40229,27,2017/03/30 00:00:00,416
695,SWIMMING AREA,191,SWIMMING POOL,109975,FINISH LINE APARTMENTS,5420 EIGHT BELLS LANE,LOUISVILLE,KY,40258,23,,417
695,SWIMMING AREA,191,SWIMMING POOL,102157,THE ENCLAVE AT BRECKENRIDGE,7204 CHURCHILL PARK DR,LOUISVILLE,KY,40220,28,2017/04/14 00:00:00,418
695,SWIMMING AREA,191,SWIMMING POOL,109976,FRONTGATE APARTMENTS,7400 SNOW BEND AVE,LOUISVILLE,KY,40228,27,2021/06/16 00:00:00,419
695,SWIMMING AREA,191,SWIMMING POOL,102469,STATION AT J-TOWN,9601 BALSAM WAY,JEFFERSONTOWN,KY,40299,22,2017/05/16 00:00:00,420
695,SWIMMING AREA,191,SWIMMING POOL,110312,THE LOFT,512 W ORMSBY AVE,LOUISVILLE,KY,40203,24,,421
695,SWIMMING AREA,191,SWIMMING POOL,102843,THE LODGES,14500 ENGLISH PARK CIR,JEFFERSONTOWN,KY,40299,22,,422
695,SWIMMING AREA,191,SWIMMING POOL,110473,TOWNEPLACE SUITES,801 W JEFFERSON ST,LOUISVILLE,KY,40202,24,,423
695,SWIMMING AREA,191,SWIMMING POOL,102861,THE PARK AT HURSTBOURNE,5301 HAMES TRACE,FERN CREEK,KY,40291,22,2013/05/16 00:00:00,424
695,SWIMMING AREA,191,SWIMMING POOL,110474,RIALTO AT HURSTBOURNE,309 PALAZZO CIRCLE,LOUISVILLE,KY,40222,29,2022/05/13 00:00:00,425
695,SWIMMING AREA,191,SWIMMING POOL,102919,HYATT REGENCY,311 S 4TH ST,LOUISVILLE,KY,40202,24,2017/07/06 00:00:00,426
695,SWIMMING AREA,191,SWIMMING POOL,110557,RESIDENCE INN,2510 TERRA CROSSING BLVD,LOUISVILLE,KY,40245,25,2020/12/21 00:00:00,427
695,SWIMMING AREA,191,SWIMMING POOL,110558,LORY OF LOUISVILLE,201 HERITAGE HILLS TRAIL,LOUISVILLE,KY,40223,25,2020/06/08 00:00:00,428
695,SWIMMING AREA,191,SWIMMING POOL,110572,ELEVATE AT NULU APARTMENTS,510 S SHELBY ST,LOUISVILLE,KY,40202,24,2020/06/08 00:00:00,429
695,SWIMMING AREA,191,SWIMMING POOL,110637,BROOKVIEW AT MIDDLETOWN,400 ECHELON DR,LOUISVILLE,KY,40223,25,2020/06/22 00:00:00,430
695,SWIMMING AREA,191,SWIMMING POOL,110666,WOODBRIDGE LVL PARTNERS 1 LLC,1000 GLENRIDGE DR,LOUISVILLE,KY,40242,25,2020/06/25 00:00:00,431
695,SWIMMING AREA,191,SWIMMING POOL,111706,COURTYARDS AT CURRY FARMS,1840 DRESSAGE CIRCLE,LOUISVILLE,KY,40245,25,2021/07/27 00:00:00,432
695,SWIMMING AREA,191,SWIMMING POOL,111717,THE LOUIS FLATS APARTMENTS,10720 BELL TUCKER LANE,LOUISVILLE,KY,40241,21,,433
695,SWIMMING AREA,191,SWIMMING POOL,111748,LYRIC AT NORTON COMMONS,6324 MEETING STREET,PROSPECT,KY,40059,21,,434
695,SWIMMING AREA,197,SPA,111806,JEWISH COMMUNITY CENTER,3600 R DUTCHMANS LANE,LOUISVILLE,KY,40205,27,2022/04/18 00:00:00,435
695,SWIMMING AREA,191,SWIMMING POOL,111807,JEWISH COMMUNITY CENTER,3600R DUTCHMANS LANE,LOUISVILLE,KY,40205,27,,436
695,SWIMMING AREA,191,SWIMMING POOL,112289,BROOKVIEW AT APEX,11602 APEX VIEW DR,LOUISVILLE,KY,40229,27,2021/04/23 00:00:00,437
695,SWIMMING AREA,191,SWIMMING POOL,112532,BRECKINRIDGE SQUARE APARTMENTS,203 BRECKINRIDGE SQUARE,LOUISVILLE,KY,40220,29,,438
695,SWIMMING AREA,195,WATERSLIDE,112594,KY KINGDOM - TORNADO,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/28 00:00:00,439
695,SWIMMING AREA,195,WATERSLIDE,112595,KY KINGDOM - MT SLIDE HAI,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,440
695,SWIMMING AREA,195,WATERSLIDE,112598,KY KINGDOM - MEGA WEDGIE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,441
695,SWIMMING AREA,191,SWIMMING POOL,112599,KY KINGDOM - BIG SURF WAVE POOL,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,442
695,SWIMMING AREA,195,WATERSLIDE,112600,KY KINGDOM - PLUMMET SUMMIT SLIDE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,443
695,SWIMMING AREA,191,SWIMMING POOL,112601,KY KINGDOM - CASTAWAY CREEK,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,444
695,SWIMMING AREA,191,SWIMMING POOL,112602,KY KINGDOM - ADVENTURE RIVER,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,445
695,SWIMMING AREA,195,WATERSLIDE,112604,KY KINGDOM - DEEPWATER DIVE/WAVE RUNNER,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,446
695,SWIMMING AREA,191,SWIMMING POOL,112605,KY KINGDOM - FAMILY WAVE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,447
695,SWIMMING AREA,195,WATERSLIDE,112636,KY KINGDOM - WIKI WIKI WAI,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,,448
695,SWIMMING AREA,199,WADING POOL,112637,KY KINGDOM - BUCCANEER BEACH,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/28 00:00:00,449
695,SWIMMING AREA,191,SWIMMING POOL,112638,KY KINGDOM - SPLASH ZONE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/28 00:00:00,450
695,SWIMMING AREA,191,SWIMMING POOL,112786,FAIRFIELD INN & SUITES,653 PHILLIPS LN,LOUISVILLE,KY,40209,23,2021/06/03 00:00:00,451
695,SWIMMING AREA,191,SWIMMING POOL,112904,TANGLEWOOD APARTMENTS,500 BERMUDA LANE,LOUISVILLE,KY,40213,27,2021/06/21 00:00:00,452
695,SWIMMING AREA,191,SWIMMING POOL,112908,UNION AT J-TOWN APARTMENTS,10101 GRAND AVE,LOUISVILLE,KY,40299,22,,453
695,SWIMMING AREA,199,WADING POOL,112931,BEECHER TERRACE,980 W LIBERTY ST,LOUISVILLE,KY,40203,24,,454
695,SWIMMING AREA,191,SWIMMING POOL,113027,THE HEMINGWAY,2102 BASS CREEK,LOUISVILLE,KY,40218,28,2021/07/09 00:00:00,455
695,SWIMMING AREA,191,SWIMMING POOL,113042,HOMEWOOD SUITES,130 CENTRAL AVE,LOUISVILLE,KY,40209,28,,456
695,SWIMMING AREA,191,SWIMMING POOL,114078,DONERAIL RUN,11404 TAYLORSVILLE RD,LOUISVILLE,KY,40299,22,,457
695,SWIMMING AREA,191,SWIMMING POOL,114079,THE STATION AT MIDDLETOWN,13325 STATION RAIL WAY,LOUISVILLE,KY,40243,22,2022/08/22 00:00:00,458
695,SWIMMING AREA,191,SWIMMING POOL,114276,HAMPTON INN DOWNTOWN LOUISVILLE,101 E JEFFERSON ST,LOUISVILLE,KY,40202,28,2022/01/13 00:00:00,459
695,SWIMMING AREA,191,SWIMMING POOL,114876,HOLIDAY INN EXPRESS,3711 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,21,2022/03/17 00:00:00,460
695,SWIMMING AREA,191,SWIMMING POOL,114877,"TYMBERWOOD TRACE PROPERTIES, LLC",7500 BEECHVIEW DR,LOUISVILLE,KY,40219,27,2022/03/30 00:00:00,461
695,SWIMMING AREA,199,WADING POOL,115449,FOREST SPRINGS SUBDIVISION,3801 ROCK BAY DR,LOUISVILLE,KY,40245,25,2022/05/19 00:00:00,462
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,115450,FOREST SPRINGS SUBDIVISION,3801 ROCK BAY DR,LOUISVILLE,KY,40245,25,,463
695,SWIMMING AREA,191,SWIMMING POOL,115451,ICON APARTMENTS,3201 LEITH LANE,LOUISVILLE,KY,40218,28,2022/05/24 00:00:00,464
