facility_type,facility_type_description,subtype,subtype_description,permit_number,premise_name,premise_address,premise_city,premise_state,premise_zip,Inspection_Area,opening_date,ObjectId
695,SWIMMING AREA,191,SWIMMING POOL,77694,VILLAGE AT PRESTON CROSSINGS,9701 PRESTON SPRING DR,LOUISVILLE,KY,40229,27,2007/02/23 00:00:00,191
695,SWIMMING AREA,191,SWIMMING POOL,29188,BIG SPRING COUNTRY CLUB,5901 DUTCHMAN LANE,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,192
695,SWIMMING AREA,199,WADING POOL,29370,STANDARD COUNTRY CLUB,8208 STANDARD CLUB LANE,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,193
695,SWIMMING AREA,191,SWIMMING POOL,66008,TERRACES AT FOREST SPRINGS,3501 TERRACE SPRING DR,LOUISVILLE,KY,40245,25,2001/05/23 00:00:00,194
695,SWIMMING AREA,191,SWIMMING POOL,33320,CYPRESS POINTE #1,425 S. HUBBARDS LN,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,195
695,SWIMMING AREA,191,SWIMMING POOL,89966,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,196
695,SWIMMING AREA,191,SWIMMING POOL,77834,AUSTIN PARK,201 PHEASANT AVE,FAIRDALE,KY,40118,23,2007/03/29 00:00:00,197
695,SWIMMING AREA,199,WADING POOL,29190,BIG SPRING COUNTRY CLUB,5901 DUTCHMANS LANE,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,198
695,SWIMMING AREA,191,SWIMMING POOL,29371,DERBY RUN APTS,6600 OUTER LOOP,LOUISVILLE,KY,40228,27,1988/06/07 00:00:00,199
695,SWIMMING AREA,191,SWIMMING POOL,66022,HUNTER'S RUN APARTMENTS,5629 FOX HORN CIRCLE,LOUISVILLE,KY,40216,23,2001/05/30 00:00:00,200
695,SWIMMING AREA,191,SWIMMING POOL,33323,CYPRESS POINTE APARTMENTS,425 S. HUBBARDS LANE,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,201
695,SWIMMING AREA,191,SWIMMING POOL,90053,SUMMIT APARTMENTS,2814 DE MEL AVE,LOUISVILLE,KY,40214,23,2012/05/24 00:00:00,202
695,SWIMMING AREA,197,SPA,77941,KORT,12613 TAYLORSVILLE RD SUITE 118,LOUISVILLE,KY,40299,22,2007/03/30 00:00:00,203
695,SWIMMING AREA,191,SWIMMING POOL,29211,THE AVERY,7025 BRONNER CIRCLE,LOUISVILLE,KY,40218,27,1988/06/06 00:00:00,204
695,SWIMMING AREA,191,SWIMMING POOL,29372,STONEHENGE CONDOS,245 STONEHENGE DR,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,205
695,SWIMMING AREA,191,SWIMMING POOL,66059,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2001/04/17 00:00:00,206
695,SWIMMING AREA,191,SWIMMING POOL,66118,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2001/06/27 00:00:00,207
695,SWIMMING AREA,197,SPA,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2005/12/08 00:00:00,208
695,SWIMMING AREA,191,SWIMMING POOL,66132,RENAISSANCE AT ST. ANDREWS,3311 RENWOOD BLVD,LOUISVILLE,KY,40214,23,2005/08/05 00:00:00,209
695,SWIMMING AREA,191,SWIMMING POOL,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,LOUISVILLE,KY,40209,27,2001/08/24 00:00:00,210
695,SWIMMING AREA,191,SWIMMING POOL,66533,SPRINGHILL SUITES,10101 FOREST GREEN BLVD,LOUISVILLE,KY,40223,25,2001/08/31 00:00:00,211
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,66874,COPPERFIELD NEIGHBORHOOD ASSOC,406 WICKFIELD DR,LOUISVILLE,KY,40245,25,2001/11/07 00:00:00,212
695,SWIMMING AREA,199,WADING POOL,66875,COPPERFIELD NEIGHBORHOOD ASSOC,406 WICKFIELD DR,LOUISVILLE,KY,40245,25,2001/11/07 00:00:00,213
695,SWIMMING AREA,191,SWIMMING POOL,66973,ALL ABOUT KIDS,2531 BLANKENBAKER PKWY,LOUISVILLE,KY,40299,22,2001/11/28 00:00:00,214
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,67054,LANDIS LAKES,14600 LANDIS LAKES DR,LOUISVILLE,KY,40245,25,2002/01/31 00:00:00,215
695,SWIMMING AREA,191,SWIMMING POOL,67213,EAST LOUISVILLE EMBASSY SUITES,9940 CORPORATE CAMPUS DR,LOUISVILLE,KY,40245,25,2002/01/31 00:00:00,216
695,SWIMMING AREA,199,WADING POOL,67223,LANDIS LAKES,14600 LANDIS LAKES DR,LOUISVILLE,KY,40245,25,2002/01/31 00:00:00,217
695,SWIMMING AREA,197,SPA,67596,HAWTHORN SUITES BY WYNDHAM,751 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2002/04/19 00:00:00,218
695,SWIMMING AREA,191,SWIMMING POOL,67597,HAWTHORN SUITES BY WYNDHAM,751 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2002/04/19 00:00:00,219
695,SWIMMING AREA,191,SWIMMING POOL,67919,CROWNE AT SUMMIT APARTMENTS,4301 CROWNE SPRINGS DR,LOUISVILLE,KY,40241,21,2002/06/12 00:00:00,220
695,SWIMMING AREA,191,SWIMMING POOL,67920,HURSTBOURNE SPRINGS CONDOS,3310 HURSTBOURNE SPRINGS DR,LOUISVILLE,KY,40220,29,2002/06/11 00:00:00,221
695,SWIMMING AREA,191,SWIMMING POOL,68338,RIVER POINTE POOL,6300 RIVER POINTE DR,LOUISVILLE,KY,40258,23,2002/08/23 00:00:00,222
695,SWIMMING AREA,191,SWIMMING POOL,69692,TROON AT LANDIS LAKES,14433 TROON DR,LOUISVILLE,KY,40245,25,2003/06/27 00:00:00,223
695,SWIMMING AREA,191,SWIMMING POOL,69695,ASBURY PARK,4600 HARBOLD CT,LOUISVILLE,KY,40241,21,2003/11/20 00:00:00,224
695,SWIMMING AREA,191,SWIMMING POOL,69696,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2003/09/15 00:00:00,225
695,SWIMMING AREA,191,SWIMMING POOL,69896,SUMMIT PLACE APARTMENTS,5201 EAGLES PEAK WAY,LOUISVILLE,KY,40241,21,2004/04/27 00:00:00,226
695,SWIMMING AREA,199,WADING POOL,70122,LAKE FOREST- PALMER POOL,2110 ARNOLD PALMER BLVD,LOUISVILLE,KY,40245,25,2003/07/23 00:00:00,227
695,SWIMMING AREA,191,SWIMMING POOL,70123,LAKE FOREST-PALMER POOL,2110 ARNOLD PALMER BLVD,LOUISVILLE,KY,40245,25,2003/07/23 00:00:00,228
695,SWIMMING AREA,191,SWIMMING POOL,70161,HILTON GARDEN INN,2735 CRITTENDEN DRIVE,LOUISVILLE,KY,40209,23,2003/07/30 00:00:00,229
695,SWIMMING AREA,191,SWIMMING POOL,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2005/03/13 00:00:00,230
695,SWIMMING AREA,191,SWIMMING POOL,71467,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2004/04/12 00:00:00,231
695,SWIMMING AREA,199,WADING POOL,71908,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,232
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,71909,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,233
695,SWIMMING AREA,191,SWIMMING POOL,71914,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2007/09/25 00:00:00,234
695,SWIMMING AREA,191,SWIMMING POOL,71915,CROSSINGS AT COOPER CHAPEL,6518 BROOK BEND WAY,LOUISVILLE,KY,40229,27,2004/08/26 00:00:00,235
695,SWIMMING AREA,191,SWIMMING POOL,71923,MAGNOLIA RIDGE CONDOMINIUMS,9510 MAGNOLIA RIDGE DR,LOUISVILLE,KY,40291,22,2004/06/08 00:00:00,236
695,SWIMMING AREA,191,SWIMMING POOL,72358,GARDEN GATE APTS,11803 DUANE POINTE CIR,LOUISVILLE,KY,40243,22,2004/08/06 00:00:00,237
695,SWIMMING AREA,191,SWIMMING POOL,78036,OVERLOOK AT ST THOMAS,6800 STEEPRUN RD,LOUISVILLE,KY,40241,21,2007/04/17 00:00:00,238
695,SWIMMING AREA,191,SWIMMING POOL,33334,EAST CHASE APTS,1700 SOMERSET PLACE,LOUISVILLE,KY,40220,29,1989/03/29 00:00:00,239
695,SWIMMING AREA,191,SWIMMING POOL,78169,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,LOUISVILLE,KY,40202,28,2007/05/17 00:00:00,240
695,SWIMMING AREA,191,SWIMMING POOL,90715,NORTON COMMONS - BERGAMONT POOL,8921 COLTSFOOT TRACE,PROSPECT,KY,40059,21,2012/10/09 00:00:00,241
695,SWIMMING AREA,191,SWIMMING POOL,29373,METRO PARKS SUN VALLEY,6506 BETHANY LN,LOUISVILLE,KY,40272,23,1988/06/07 00:00:00,242
695,SWIMMING AREA,191,SWIMMING POOL,29217,MILLWOOD APTS,761 HUNTINGTON PARK PL,LOUISVILLE,KY,40213,27,1988/06/06 00:00:00,243
