AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2967,POLICE OFFICER                     ,F,W ,40 - 49,49,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,26,734
2968,POLICE LIEUTENANT                  ,F,W ,40 - 49,49,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,26,735
2969,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,26,736
2970,POLICE OFFICER                     ,F,B ,50 - 59,51,FORMER EMPLOYEE                                        ,,26,737
2971,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,26,738
2972,POLICE SERGEANT                    ,M,W ,50 - 59,57,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,26,739
2973,POLICE OFFICER                     ,F,W ,50 - 59,54,FORMER EMPLOYEE                                        ,,26,740
2974,POLICE OFFICER                     ,M,W ,OVER 60,68,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,26,741
2975,POLICE OFFICER                     ,M,W ,40 - 49,49,5TH DIVISION                                           ,2ND PLATOON                                            ,26,742
2976,POLICE OFFICER                     ,M,W ,50 - 59,55,TRAINING                                               ,BASIC ACADEMY                                          ,26,743
2977,POLICE SERGEANT                    ,M,W ,50 - 59,51,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,26,744
2978,POLICE OFFICER                     ,M,W ,OVER 60,64,CIS ROBBERY                                            ,3RD PLATOON                                            ,26,745
2979,POLICE OFFICER                     ,M,B ,50 - 59,53,3RD DIVISION                                           ,2ND PLATOON                                            ,26,746
2980,POLICE SERGEANT                    ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,26,747
2981,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,26,748
2982,POLICE OFFICER                     ,M,H ,OVER 60,70,6TH DIVISION                                           ,2ND PLATOON                                            ,26,749
2984,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,26,750
2986,POLICE SERGEANT                    ,M,W ,50 - 59,50,6TH DIVISION                                           ,3RD PLATOON                                            ,26,751
2987,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,26,752
2988,POLICE OFFICER                     ,F,W ,50 - 59,50,8TH DIVISION                                           ,2ND PLATOON                                            ,26,753
2989,POLICE OFFICER                     ,M,W ,OVER 60,62,1ST DIVISION                                           ,3RD PLATOON                                            ,26,754
2991,POLICE OFFICER                     ,F,W ,OVER 60,74,FORMER EMPLOYEE                                        ,,26,755
2993,POLICE OFFICER                     ,M,W ,50 - 59,53,1ST DIVISION                                           ,BIKE PLATOON                                           ,26,756
2994,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,26,757
2995,POLICE SERGEANT                    ,M,W ,50 - 59,58,8TH DIVISION                                           ,FLEX PLATOON                                           ,26,758
2996,POLICE OFFICER                     ,F,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,25,759
2997,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CIS ROBBERY                                            ,STAFF                                                  ,25,760
2998,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,TRAFFIC                                                ,STAFF                                                  ,25,761
2999,POLICE OFFICER                     ,F,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,25,762
6002,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,STRATEGIC PLANNING                                     ,STAFF                                                  ,22,763
6006,POLICE SERGEANT                    ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,25,764
6008,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24,765
6009,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,40,766
6010,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,1ST PLATOON                                            ,23,767
6013,POLICE OFFICER                     ,M,W ,40 - 49,47,AIR PATROL                                             ,STAFF                                                  ,25,768
6016,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,37,769
6018,POLICE SERGEANT                    ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,41,770
6028,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,2ND PLATOON                                            ,5,771
6030,POLICE OFFICER                     ,M,H ,50 - 59,56,6TH DIVISION                                           ,1ST PLATOON                                            ,19,772
6033,POLICE OFFICER                     ,F,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,34,773
6039,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,28,774
6041,POLICE SERGEANT                    ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,40,775
6044,POLICE OFFICER                     ,M,B ,OVER 60,64,3RD DIVISION                                           ,1ST PLATOON                                            ,16,776
6045,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,40,777
6046,POLICE MAJOR                       ,M,B ,40 - 49,46,6TH DIVISION                                           ,STAFF                                                  ,22,778
6050,POLICE OFFICER                     ,M,B ,OVER 60,67,FORMER EMPLOYEE                                        ,,35,779
6052,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,780
6054,POLICE OFFICER                     ,M,B ,OVER 60,75,7TH DIVISION                                           ,DETECTIVES                                             ,35,781
6056,POLICE OFFICER                     ,M,B ,50 - 59,57,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,32,782
6060,POLICE OFFICER                     ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,16,783
6061,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,43,784
6067,POLICE OFFICER                     ,M,W ,50 - 59,50,6TH DIVISION                                           ,1ST PLATOON                                            ,25,785
6069,POLICE OFFICER                     ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,33,786
6072,POLICE OFFICER                     ,M,W ,OVER 60,61,9TH DIVISION                                           ,SQUAD 2                                                ,35,787
6074,POLICE SERGEANT                    ,M,W ,50 - 59,55,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,27,788
6075,POLICE OFFICER                     ,M,W ,OVER 60,67,3RD DIVISION                                           ,1ST PLATOON                                            ,16,789
6077,POLICE SERGEANT                    ,M,W ,50 - 59,57,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,27,790
6082,POLICE SERGEANT                    ,M,W ,OVER 60,72,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,37,791
6083,POLICE OFFICER                     ,F,B ,OVER 60,61,FORMER EMPLOYEE                                        ,,37,792
6085,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,37,793
6087,POLICE OFFICER                     ,M,B ,50 - 59,59,FORMER EMPLOYEE                                        ,,37,794
6089,POLICE OFFICER                     ,M,B ,OVER 60,74,FORMER EMPLOYEE                                        ,,37,795
6090,POLICE SERGEANT                    ,M,B ,50 - 59,57,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,30,796
6094,POLICE LIEUTENANT                  ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,40,797
6097,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,28,798
6100,POLICE OFFICER                     ,M,B ,50 - 59,51,6TH DIVISION                                           ,1ST PLATOON                                            ,27,799
6101,POLICE OFFICER                     ,M,B ,OVER 60,79,FORMER EMPLOYEE                                        ,,36,800
6102,POLICE OFFICER                     ,M,W ,OVER 60,73,FORMER EMPLOYEE                                        ,,45,801
6106,POLICE SERGEANT                    ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,35,802
6108,POLICE OFFICER                     ,F,W ,40 - 49,48,8TH DIVISION                                           ,2ND PLATOON                                            ,25,803
6109,POLICE SERGEANT                    ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,45,804
6111,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,FORMER EMPLOYEE                                        ,,32,805
6114,POLICE OFFICER                     ,M,W ,50 - 59,58,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,33,806
6115,POLICE SERGEANT                    ,M,W ,OVER 60,66,8TH DIVISION                                           ,1ST PLATOON                                            ,33,807
6120,POLICE OFFICER                     ,M,W ,OVER 60,64,8TH DIVISION                                           ,3RD PLATOON                                            ,16,808
6124,POLICE OFFICER                     ,M,B ,50 - 59,58,FORMER EMPLOYEE                                        ,,28,809
6125,POLICE OFFICER A                   ,M,W ,OVER 60,74,FORMER EMPLOYEE                                        ,,49,810
6128,POLICE OFFICER                     ,M,W ,40 - 49,46,AIR PATROL                                             ,STAFF                                                  ,25,811
6129,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,1ST DIVISION                                           ,STAFF                                                  ,28,812
6130,POLICE OFFICER                     ,M,A ,OVER 60,61,8TH DIVISION                                           ,1ST PLATOON                                            ,22,813
6131,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,37,814
6132,POLICE OFFICER                     ,M,W ,50 - 59,51,FORMER EMPLOYEE                                        ,,28,815
6136,POLICE OFFICER                     ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,33,816
6137,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,38,817
6138,POLICE OFFICER                     ,M,W ,OVER 60,60,6TH DIVISION                                           ,1ST PLATOON                                            ,34,818
6139,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,26,819
6140,POLICE OFFICER                     ,M,W ,40 - 49,45,FORMER EMPLOYEE                                        ,,23,820
6141,POLICE SERGEANT                    ,M,W ,50 - 59,52,3RD DIVISION                                           ,1ST PLATOON                                            ,23,821
6142,POLICE OFFICER                     ,M,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,22,822
6143,POLICE OFFICER                     ,M,W ,40 - 49,44,CIS ROBBERY                                            ,2ND PLATOON                                            ,22,823
6145,POLICE OFFICER                     ,M,W ,40 - 49,45,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,19,824
6146,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,40,825
6147,POLICE LIEUTENANT                  ,F,W ,50 - 59,55,FORMER EMPLOYEE                                        ,,32,826
6148,POLICE OFFICER                     ,M,A ,40 - 49,43,6TH DIVISION                                           ,1ST PLATOON                                            ,21,827
6149,POLICE SERGEANT                    ,F,W ,40 - 49,46,5TH DIVISION                                           ,1ST PLATOON                                            ,22,828
6150,POLICE OFFICER                     ,M,W ,40 - 49,46,COMPLAINT RESPONSE UNIT                                ,SQUAD 1                                                ,23,829
6151,POLICE SERGEANT                    ,M,B ,OVER 60,69,FORMER EMPLOYEE                                        ,,36,830
6155,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,44,831
6167,POLICE OFFICER                     ,F,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,35,832
6168,POLICE OFFICER                     ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,35,833
6171,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,43,834
6172,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,38,835
6173,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,33,836
6178,POLICE ASST CHIEF-LT COL           ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,122,837
6181,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,37,838
6183,POLICE OFFICER                     ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,32,839
6184,POLICE SERGEANT                    ,M,W ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,37,840
6192,POLICE LIEUTENANT                  ,F,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,37,841
6193,POLICE OFFICER                     ,M,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,37,842
6195,POLICE SERGEANT                    ,M,W ,OVER 60,67,3RD DIVISION                                           ,2ND PLATOON                                            ,37,843
6196,POLICE OFFICER                     ,M,W ,OVER 60,68,6TH DIVISION                                           ,2ND PLATOON                                            ,39,844
6207,POLICE OFFICER                     ,M,B ,50 - 59,56,7TH DIVISION                                           ,2ND PLATOON                                            ,28,845
6210,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,41,846
6218,POLICE SERGEANT                    ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,48,847
6219,POLICE MAJOR                       ,M,W ,50 - 59,56,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,33,848
6220,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,33,849
6222,POLICE OFFICER A                   ,M,W ,OVER 60,75,FORMER EMPLOYEE                                        ,,46,850
6223,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,37,851
6225,POLICE MAJOR                       ,M,W ,OVER 60,63,5TH DIVISION                                           ,STAFF                                                  ,37,852
6226,POLICE SERGEANT                    ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,33,853
6229,POLICE LIEUTENANT                  ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,48,854
6231,POLICE OFFICER                     ,M,W ,OVER 60,65,CANINE UNIT                                            ,1ST PLATOON                                            ,36,855
6235,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS HOMICIDE                                           ,3RD PLATOON                                            ,19,856
6240,POLICE SERGEANT                    ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,857
6242,POLICE MAJOR                       ,M,W ,OVER 60,63,5TH DIVISION                                           ,STAFF                                                  ,35,858
6244,POLICE OFFICER                     ,M,U ,OVER 60,60,FORMER EMPLOYEE                                        ,,36,859
6246,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,32,860
6248,POLICE OFFICER                     ,M,B ,50 - 59,57,NARCOTICS                                              ,FEDERAL TASK FORCES                                    ,33,861
6249,POLICE OFFICER                     ,F,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,33,862
6258,POLICE OFFICER                     ,M,B ,OVER 60,61,FORMER EMPLOYEE                                        ,,32,863
6261,POLICE SERGEANT                    ,M,W ,50 - 59,55,FORMER EMPLOYEE                                        ,,33,864
6262,POLICE LIEUTENANT                  ,F,W ,50 - 59,51,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,31,865
6265,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,RCFL                                                   ,STAFF                                                  ,25,866
6266,POLICE SERGEANT                    ,M,W ,50 - 59,52,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,25,867
6267,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,33,868
6269,POLICE MAJOR                       ,M,B ,50 - 59,52,8TH DIVISION                                           ,STAFF                                                  ,28,869
6270,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,1ST DIVISION                                           ,BIKE PLATOON                                           ,25,870
6271,POLICE SERGEANT                    ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,33,871
6272,POLICE SERGEANT                    ,M,W ,OVER 60,63,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,42,872
6274,POLICE OFFICER                     ,M,H ,OVER 60,61,7TH DIVISION                                           ,2ND PLATOON                                            ,28,873
6278,POLICE SERGEANT                    ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,44,874
6280,POLICE SERGEANT                    ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,28,875
6284,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,43,876
6285,POLICE SERGEANT                    ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,47,877
6290,POLICE OFFICER                     ,M,W ,OVER 60,67,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25,878
6295,POLICE OFFICER                     ,M,B ,50 - 59,55,SPECIAL OPERATIONS                                     ,STAFF                                                  ,24,879
6299,POLICE OFFICER                     ,F,W ,40 - 49,44,3RD DIVISION                                           ,2ND PLATOON                                            ,21,880
6302,POLICE OFFICER                     ,M,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,37,881
6305,POLICE OFFICER A                   ,M,B ,OVER 60,66,FORMER EMPLOYEE                                        ,,37,882
6307,POLICE MAJOR                       ,F,W ,40 - 49,49,5TH DIVISION                                           ,STAFF                                                  ,22,883
6308,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,25,884
6309,POLICE OFFICER A                   ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,38,885
6310,POLICE OFFICER                     ,M,W ,OVER 60,65,8TH DIVISION                                           ,2ND PLATOON                                            ,40,886
6311,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,2ND PLATOON                                            ,30,887
6312,POLICE SERGEANT                    ,F,W ,50 - 59,54,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,30,888
6314,POLICE OFFICER                     ,M,W ,40 - 49,48,8TH DIVISION                                           ,DETECTIVES                                             ,21,889
6316,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,36,890
6317,POLICE OFFICER                     ,M,W ,OVER 60,61,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24,891
6318,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,1ST PLATOON                                            ,24,892
6319,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,21,893
6320,POLICE OFFICER                     ,M,W ,40 - 49,45,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,21,894
6321,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,DETECTIVES                                             ,21,895
6322,POLICE OFFICER                     ,M,W ,50 - 59,55,FORMER EMPLOYEE                                        ,,21,896
6323,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,26,897
6325,POLICE OFFICER                     ,M,W ,50 - 59,55,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,16,898
6326,POLICE OFFICER                     ,M,W ,40 - 49,47,3RD DIVISION                                           ,STAFF                                                  ,21,899
6327,POLICE OFFICER                     ,M,W ,50 - 59,54,4TH DIVISION                                           ,2ND PLATOON                                            ,25,900
6329,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,25,901
6330,POLICE SERGEANT                    ,M,W ,50 - 59,53,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25,902
6331,POLICE OFFICER                     ,M,B ,40 - 49,49,8TH DIVISION                                           ,3RD PLATOON                                            ,26,903
6332,POLICE OFFICER                     ,F,W ,OVER 60,61,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21,904
6334,POLICE OFFICER                     ,M,W ,50 - 59,54,8TH DIVISION                                           ,1ST PLATOON                                            ,20,905
6335,POLICE OFFICER                     ,M,W ,50 - 59,51,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,20,906
6336,POLICE OFFICER                     ,F,B ,OVER 60,69,FORMER EMPLOYEE                                        ,,35,907
6337,POLICE OFFICER                     ,M,A ,40 - 49,43,7TH DIVISION                                           ,1ST PLATOON                                            ,21,908
6338,POLICE OFFICER                     ,M,W ,40 - 49,44,FORMER EMPLOYEE                                        ,,19,909
6339,POLICE MAJOR                       ,M,W ,40 - 49,42,8TH DIVISION                                           ,STAFF                                                  ,9,910
6340,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,19,911
6342,POLICE OFFICER                     ,M,W ,40 - 49,45,FORMER EMPLOYEE                                        ,,23,912
6346,POLICE MAJOR                       ,M,W ,50 - 59,56,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,33,913
6348,POLICE MAJOR                       ,M,B ,OVER 60,74,FORMER EMPLOYEE                                        ,,0,914
6354,POLICE OFFICER                     ,M,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,36,915
6358,POLICE SERGEANT                    ,M,B ,50 - 59,55,FORMER EMPLOYEE                                        ,,30,916
6360,POLICE OFFICER                     ,M,W ,50 - 59,51,1ST DIVISION                                           ,1ST PLATOON                                            ,30,917
6361,POLICE OFFICER                     ,M,B ,50 - 59,53,FORMER EMPLOYEE                                        ,,23,918
6365,POLICE OFFICER A                   ,M,W ,OVER 60,81,FORMER EMPLOYEE                                        ,,56,919
6376,POLICE SERGEANT                    ,M,W ,OVER 60,66,7TH DIVISION                                           ,1ST PLATOON                                            ,44,920
6377,POLICE OFFICER                     ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,33,921
6378,POLICE OFFICER                     ,M,W ,OVER 60,74,FORMER EMPLOYEE                                        ,,50,922
6379,POLICE OFFICER                     ,M,W ,50 - 59,56,TRAFFIC                                                ,2ND PLATOON                                            ,30,923
6380,POLICE OFFICER                     ,M,W ,50 - 59,53,FORMER EMPLOYEE                                        ,,31,924
6382,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,CANINE SQUAD                                           ,22,925
6383,POLICE LIEUTENANT                  ,F,W ,50 - 59,52,3RD DIVISION                                           ,STAFF                                                  ,22,926
6384,POLICE OFFICER                     ,M,W ,OVER 60,69,FORMER EMPLOYEE                                        ,,45,927
6389,POLICE OFFICER                     ,M,W ,50 - 59,53,AIR PATROL                                             ,2ND PLATOON                                            ,30,928
6395,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,929
6396,POLICE OFFICER A                   ,F,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,40,930
6397,POLICE OFFICER                     ,F,B ,OVER 60,71,FORMER EMPLOYEE                                        ,,33,931
6398,POLICE SERGEANT                    ,F,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,40,932
6399,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,37,933
6400,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS HOMICIDE                                           ,SQUAD 4                                                ,21,934
6401,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,40,935
6406,POLICE OFFICER                     ,M,W ,OVER 60,61,8TH DIVISION                                           ,1ST PLATOON                                            ,32,936
6408,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,TRAFFIC                                                ,STAFF                                                  ,23,937
6415,POLICE SERGEANT                    ,M,W ,OVER 60,60,6TH DIVISION                                           ,2ND PLATOON                                            ,33,938
6416,POLICE SERGEANT                    ,F,W ,50 - 59,53,FORMER EMPLOYEE                                        ,,31,939
6418,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,1ST PLATOON                                            ,33,940
6419,POLICE OFFICER                     ,M,W ,50 - 59,57,8TH DIVISION                                           ,2ND PLATOON                                            ,27,941
6422,POLICE OFFICER A                   ,M,W ,40 - 49,49,FORMER EMPLOYEE                                        ,,25,942
6423,POLICE OFFICER                     ,M,W ,50 - 59,54,8TH DIVISION                                           ,2ND PLATOON                                            ,25,943
6425,POLICE MAJOR                       ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,122,944
6426,POLICE OFFICER                     ,F,W ,40 - 49,49,3RD DIVISION                                           ,2ND PLATOON                                            ,21,945
6428,POLICE SERGEANT                    ,M,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,49,946
6434,POLICE SERGEANT                    ,F,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,44,947
6435,POLICE LIEUTENANT                  ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,44,948
6437,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,27,949
6445,POLICE OFFICER                     ,M,W ,50 - 59,58,3RD DIVISION                                           ,1ST PLATOON                                            ,5,950
6446,POLICE OFFICER                     ,M,W ,OVER 60,68,7TH DIVISION                                           ,2ND PLATOON                                            ,35,951
6448,POLICE SERGEANT                    ,M,B ,OVER 60,68,FORMER EMPLOYEE                                        ,,40,952
6449,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,41,953
6450,POLICE OFFICER                     ,F,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,30,954
6451,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,2ND PLATOON                                            ,30,955
6452,POLICE OFFICER                     ,M,W ,50 - 59,51,FORMER EMPLOYEE                                        ,,30,956
6453,POLICE SERGEANT                    ,M,W ,50 - 59,53,NARCOTICS                                              ,SCRIPT TEAM                                            ,30,957
6454,POLICE SERGEANT                    ,F,U ,40 - 49,45,MOUNTED PATROL                                         ,STAFF                                                  ,22,958
6455,POLICE SERGEANT                    ,M,W ,50 - 59,54,8TH DIVISION                                           ,DETECTIVES                                             ,25,959
6456,POLICE OFFICER                     ,M,W ,40 - 49,46,8TH DIVISION                                           ,1ST PLATOON                                            ,21,960
6457,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,DETECTIVES                                             ,21,961
6458,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,21,962
6459,POLICE OFFICER                     ,M,W ,40 - 49,48,FORMER EMPLOYEE                                        ,,23,963
6462,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,33,964
6465,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,965
6467,POLICE SERGEANT                    ,M,H ,50 - 59,58,NARCOTICS                                              ,STAFF                                                  ,31,966
6469,POLICE OFFICER                     ,M,H ,50 - 59,53,9TH DIVISION                                           ,SQUAD 1                                                ,29,967
6477,POLICE OFFICER                     ,M,H ,40 - 49,46,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,21,968
6483,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,33,969
6486,POLICE OFFICER                     ,M,B ,OVER 60,67,FORMER EMPLOYEE                                        ,,44,970
6488,POLICE OFFICER                     ,M,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,33,971
6491,POLICE OFFICER                     ,M,W ,OVER 60,61,2ND DIVISION                                           ,1ST PLATOON                                            ,16,972
6493,POLICE OFFICER B                   ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,20,973
6494,POLICE OFFICER                     ,M,W ,40 - 49,46,7TH DIVISION                                           ,1ST PLATOON                                            ,20,974
6495,POLICE OFFICER                     ,M,W ,40 - 49,43,3RD DIVISION                                           ,1ST PLATOON                                            ,20,975
6496,POLICE SERGEANT                    ,M,W ,40 - 49,47,CANINE UNIT                                            ,STAFF                                                  ,21,976
6499,POLICE OFFICER                     ,F,W ,40 - 49,49,3RD DIVISION                                           ,2ND PLATOON                                            ,21,977
